#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	CONTIG_LENGTH	METADATA	ASSEMBLY_NAME	OBSERVATION_ID
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-907-PRJ1139-Escherichia-coli-1D-915_R1_001.fa	NODE_30_length_17300_cov_14.563326	2794	3267	+	dfrA1_8_X00926	1-474/474	===============	0/0	100.00	100.00	17300	metadata	DTU2019_907_PRJ1139_Escherichia_coli_1D-915	DT21
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-907-PRJ1139-Escherichia-coli-1D-915_R1_001.fa	NODE_30_length_17300_cov_14.563326	14167	15372	+	tet(B)_1_AP000342	1-1206/1206	===============	0/0	100.00	99.92	17300	metadata	DTU2019_907_PRJ1139_Escherichia_coli_1D-915	DT22
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-908-PRJ1139-Escherichia-coli-1D-916_R1_001.fa	NODE_17_length_114994_cov_15.078569	73405	73878	+	dfrA1_8_X00926	1-474/474	===============	0/0	100.00	100.00	114994	metadata	DTU2019_908_PRJ1139_Escherichia_coli_1D-916	DT23
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-909-PRJ1139-Escherichia-coli-1D-917_R1_001.fa	NODE_33_length_54041_cov_32.638554	32110	32583	+	dfrA1_8_X00926	1-474/474	===============	0/0	100.00	100.00	54041	metadata	DTU2019_909_PRJ1139_Escherichia_coli_1D-917	DT24
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-909-PRJ1139-Escherichia-coli-1D-917_R1_001.fa	NODE_33_length_54041_cov_32.638554	32701	33333	+	catB3_2_U13880	1-633/633	===============	0/0	100.00	99.84	54041	metadata	DTU2019_909_PRJ1139_Escherichia_coli_1D-917	DT25
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-909-PRJ1139-Escherichia-coli-1D-917_R1_001.fa	NODE_33_length_54041_cov_32.638554	37717	38577	+	blaTEM-1A_1_HM749966	1-861/861	===============	0/0	100.00	100.00	54041	metadata	DTU2019_909_PRJ1139_Escherichia_coli_1D-917	DT26
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_20_length_109901_cov_7.524514	133	666	+	ant(2'')-Ia_1_X04555	1-534/534	===============	0/0	100.00	100.00	109901	metadata	DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	DT27
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_20_length_109901_cov_7.524514	785	1615	+	blaOXA-4_1_AY162283	1-831/831	===============	0/0	100.00	100.00	109901	metadata	DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	DT28
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_20_length_109901_cov_7.524514	2997	3863	+	sul1_5_EU780013	1-867/867	===============	0/0	100.00	99.77	109901	metadata	DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	DT29
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_21_length_106178_cov_6.012579	105246	106118	+	blaOXY-2-8_8_AY055205	1-873/873	===============	0/0	100.00	99.66	106178	metadata	DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	DT30
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_31_length_13670_cov_21.038692	5620	6422	+	aph(3'')-Ib_2_AF024602	2-804/804	===============	0/0	99.88	100.00	13670	metadata	DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	DT31
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_31_length_13670_cov_21.038692	6422	7258	+	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	100.00	13670	metadata	DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	DT32
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_43_length_1656_cov_1.116416	120	908	-	aadA5_1_AF137361	1-789/789	===============	0/0	100.00	100.00	1656	metadata	DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	DT33
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_43_length_1656_cov_1.116416	1039	1512	-	dfrA17_1_FJ460238	1-474/474	===============	0/0	100.00	100.00	1656	metadata	DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	DT34
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_46_length_1339_cov_0.536304	159	1080	+	mph(A)_2_U36578	1-921/921	========/======	1/1	100.00	99.67	1339	metadata	DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	DT35
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-911-PRJ1139-Klebsiella-oxytoca-1D-919_R1_001.fa	NODE_6_length_278758_cov_9.080996	273247	274062	+	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	278758	metadata	DTU2019_911_PRJ1139_Klebsiella_oxytoca_1D-919	DT36
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-912-PRJ1139-Enterobacter-cloacae-1D-920_R1_001.fa	NODE_2_length_500075_cov_11.487977	479185	480330	+	blaACT-7_1_FJ237368	1-1146/1146	===============	0/0	100.00	99.48	500075	metadata	DTU2019_912_PRJ1139_Enterobacter_cloacae_1D-920	DT37
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-913-PRJ1139-Pseudomonas-aeruginosa-1D-921_R1_001.fa	NODE_12_length_91353_cov_3.596793	56870	57658	+	blaOXA-396_1_AY306134	1-789/789	===============	0/0	100.00	99.87	91353	metadata	DTU2019_913_PRJ1139_Pseudomonas_aeruginosa_1D-921	DT38
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-913-PRJ1139-Pseudomonas-aeruginosa-1D-921_R1_001.fa	NODE_17_length_73264_cov_2.655469	18463	18870	-	fosA_4_ACWU01000146	1-408/408	===============	0/0	100.00	99.02	73264	metadata	DTU2019_913_PRJ1139_Pseudomonas_aeruginosa_1D-921	DT39
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-913-PRJ1139-Pseudomonas-aeruginosa-1D-921_R1_001.fa	NODE_27_length_60015_cov_2.714567	52314	52952	-	catB7_1_AF036933	1-639/639	===============	0/0	100.00	99.37	60015	metadata	DTU2019_913_PRJ1139_Pseudomonas_aeruginosa_1D-921	DT40
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-913-PRJ1139-Pseudomonas-aeruginosa-1D-921_R1_001.fa	NODE_69_length_34010_cov_3.347431	14313	15119	+	aph(3')-IIb_2_CP006832	1-807/807	===============	0/0	100.00	99.01	34010	metadata	DTU2019_913_PRJ1139_Pseudomonas_aeruginosa_1D-921	DT41
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-913-PRJ1139-Pseudomonas-aeruginosa-1D-921_R1_001.fa	NODE_69_length_34010_cov_3.347431	27476	28669	-	blaPAO_1_AY083595	1-1194/1194	===============	0/0	100.00	99.67	34010	metadata	DTU2019_913_PRJ1139_Pseudomonas_aeruginosa_1D-921	DT42
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-914-PRJ1139-Escherichia-coli-1D-922_R1_001.fa	NODE_14_length_63380_cov_179.504545	58148	58984	-	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	100.00	63380	metadata	DTU2019_914_PRJ1139_Escherichia_coli_1D-922	DT43
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-914-PRJ1139-Escherichia-coli-1D-922_R1_001.fa	NODE_14_length_63380_cov_179.504545	58984	59787	-	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	100.00	63380	metadata	DTU2019_914_PRJ1139_Escherichia_coli_1D-922	DT44
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-914-PRJ1139-Escherichia-coli-1D-922_R1_001.fa	NODE_14_length_63380_cov_179.504545	59848	60663	-	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	63380	metadata	DTU2019_914_PRJ1139_Escherichia_coli_1D-922	DT45
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-914-PRJ1139-Escherichia-coli-1D-922_R1_001.fa	NODE_14_length_63380_cov_179.504545	62166	63026	-	blaTEM-1B_1_AY458016	1-861/861	===============	0/0	100.00	99.88	63380	metadata	DTU2019_914_PRJ1139_Escherichia_coli_1D-922	DT46
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-915-PRJ1139-Proteus-mirabilis-1D-923_R1_001.fa	NODE_24_length_2810_cov_9189.791278	1150	1794	+	qnrD1_1_FJ228229	1-645/645	===============	0/0	100.00	100.00	2810	metadata	DTU2019_915_PRJ1139_Proteus_mirabilis_1D-923	DT47
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-915-PRJ1139-Proteus-mirabilis-1D-923_R1_001.fa	NODE_6_length_233955_cov_18.648105	199165	199638	+	dfrA1_8_X00926	1-474/474	===============	0/0	100.00	100.00	233955	metadata	DTU2019_915_PRJ1139_Proteus_mirabilis_1D-923	DT48
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-915-PRJ1139-Proteus-mirabilis-1D-923_R1_001.fa	NODE_8_length_210480_cov_18.315489	171432	172628	+	tet(J)_1_ACLE01000065	1-1197/1197	===============	0/0	100.00	99.08	210480	metadata	DTU2019_915_PRJ1139_Proteus_mirabilis_1D-923	DT49
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-916-PRJ1139-Escherichia-coli-1D-924_R1_001.fa	NODE_42_length_2810_cov_18.140142	1639	2283	-	qnrD1_1_FJ228229	1-645/645	===============	0/0	100.00	100.00	2810	metadata	DTU2019_916_PRJ1139_Escherichia_coli_1D-924	DT50
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-918-PRJ1139-Escherichia-coli-1D-926_R1_001.fa	NODE_1_length_782772_cov_9.701379	385330	386145	+	sul2_2_AY034138	1-816/816	===============	0/0	100.00	99.88	782772	metadata	DTU2019_918_PRJ1139_Escherichia_coli_1D-926	DT51
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-920-PRJ1139-Klebsiella-pneumoniae-1D-928_R1_001.fa	NODE_2_length_523748_cov_11.818147	456879	457745	+	blaSHV-187_1_LN515533	1-867/867	===============	0/0	100.00	99.89	523748	metadata	DTU2019_920_PRJ1139_Klebsiella_pneumoniae_1D-928	DT52
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-920-PRJ1139-Klebsiella-pneumoniae-1D-928_R1_001.fa	NODE_31_length_8551_cov_12.631054	1480	1953	+	dfrA5_1_X12868	1-474/474	===============	0/0	100.00	100.00	8551	metadata	DTU2019_920_PRJ1139_Klebsiella_pneumoniae_1D-928	DT53
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_103/Assemblies/DTU2019-920-PRJ1139-Klebsiella-pneumoniae-1D-928_R1_001.fa	NODE_31_length_8551_cov_12.631054	2451	3317	+	sul1_5_EU780013	1-867/867	===============	0/0	100.00	99.89	8551	metadata	DTU2019_920_PRJ1139_Klebsiella_pneumoniae_1D-928	DT54
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-921-PRJ1139-Klebsiella-pneumoniae-1D-929_R1_001.fa	NODE_12_length_212938_cov_6.593964	19600	20460	-	blaSHV-178_1_KF705209	1-861/861	===============	0/0	100.00	99.65	212938	metadata	DTU2019_921_PRJ1139_Klebsiella_pneumoniae_1D-929	DT55
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-921-PRJ1139-Klebsiella-pneumoniae-1D-929_R1_001.fa	NODE_1_length_480365_cov_7.345375	438771	439946	-	OqxA_1_EU370913	1-1176/1176	===============	0/0	100.00	99.49	480365	metadata	DTU2019_921_PRJ1139_Klebsiella_pneumoniae_1D-929	DT56
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-922-PRJ1139-Proteus-mirabilis-1D-930_R1_001.fa	NODE_3_length_252647_cov_17.397965	217858	218331	+	dfrA1_8_X00926	1-474/474	===============	0/0	100.00	100.00	252647	metadata	DTU2019_922_PRJ1139_Proteus_mirabilis_1D-930	DT57
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-922-PRJ1139-Proteus-mirabilis-1D-930_R1_001.fa	NODE_6_length_211107_cov_16.627917	171773	172969	+	tet(J)_1_ACLE01000065	1-1197/1197	===============	0/0	100.00	99.08	211107	metadata	DTU2019_922_PRJ1139_Proteus_mirabilis_1D-930	DT58
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-925-PRJ1139-Klebsiella-pneumoniae-1D-933_R1_001.fa	NODE_4_length_428428_cov_5.657222	240634	241494	-	blaOKP-B-8_1_AM051157	1-861/861	===============	0/0	100.00	100.00	428428	metadata	DTU2019_925_PRJ1139_Klebsiella_pneumoniae_1D-933	DT59
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-926-PRJ1139-Citrobacter-braakii-1D-934_R1_001.fa	NODE_11_length_143916_cov_7.473750	16979	18124	-	blaCMY-83_1_JX440351	1-1146/1146	===============	0/0	100.00	99.65	143916	metadata	DTU2019_926_PRJ1139_Citrobacter_braakii_1D-934	DT60
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-927-PRJ1139-Proteus-mirabilis-1D-935_R1_001.fa	NODE_3_length_379033_cov_21.705510	115696	116892	+	tet(J)_1_ACLE01000065	1-1197/1197	===============	0/0	100.00	99.08	379033	metadata	DTU2019_927_PRJ1139_Proteus_mirabilis_1D-935	DT61
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-928-PRJ1139-Klebsiella-pneumoniae-1D-936_R1_001.fa	NODE_21_length_31545_cov_32.039054	21480	22282	+	aph(3'')-Ib_2_AF024602	2-804/804	===============	0/0	99.88	100.00	31545	metadata	DTU2019_928_PRJ1139_Klebsiella_pneumoniae_1D-936	DT62
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-928-PRJ1139-Klebsiella-pneumoniae-1D-936_R1_001.fa	NODE_21_length_31545_cov_32.039054	22282	23118	+	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	100.00	31545	metadata	DTU2019_928_PRJ1139_Klebsiella_pneumoniae_1D-936	DT63
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-928-PRJ1139-Klebsiella-pneumoniae-1D-936_R1_001.fa	NODE_3_length_483670_cov_11.557955	39952	41127	+	OqxA_1_EU370913	1-1176/1176	===============	0/0	100.00	99.75	483670	metadata	DTU2019_928_PRJ1139_Klebsiella_pneumoniae_1D-936	DT64
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-928-PRJ1139-Klebsiella-pneumoniae-1D-936_R1_001.fa	NODE_8_length_266183_cov_9.838993	224681	225541	+	blaSHV-81_1_AM176556	1-861/861	===============	0/0	100.00	99.77	266183	metadata	DTU2019_928_PRJ1139_Klebsiella_pneumoniae_1D-936	DT65
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-930-PRJ1139-Proteus-mirabilis-1D-938_R1_001.fa	NODE_13_length_110084_cov_15.964241	40686	41882	-	tet(J)_1_ACLE01000065	1-1197/1197	===============	0/0	100.00	99.17	110084	metadata	DTU2019_930_PRJ1139_Proteus_mirabilis_1D-938	DT66
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-931-PRJ1139-Klebsiella-pneumoniae-1D-939_R1_001.fa	NODE_1_length_407020_cov_15.996940	359297	362449	-	OqxB_1_EU370913	1-3153/3153	===============	0/0	100.00	99.08	407020	metadata	DTU2019_931_PRJ1139_Klebsiella_pneumoniae_1D-939	DT67
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-931-PRJ1139-Klebsiella-pneumoniae-1D-939_R1_001.fa	NODE_1_length_407020_cov_15.996940	362473	363648	-	OqxA_1_EU370913	1-1176/1176	===============	0/0	100.00	99.32	407020	metadata	DTU2019_931_PRJ1139_Klebsiella_pneumoniae_1D-939	DT68
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-931-PRJ1139-Klebsiella-pneumoniae-1D-939_R1_001.fa	NODE_5_length_342641_cov_13.279784	121216	122076	+	blaSHV-41_1_AF535129	1-861/861	===============	0/0	100.00	100.00	342641	metadata	DTU2019_931_PRJ1139_Klebsiella_pneumoniae_1D-939	DT69
/home/projects/cge/backup/fastq/cge_private/FOOD_seqdata/NextSeq/NextSeq_104/Assemblies/DTU2019-932-PRJ1139-Enterobacter-cloacae-1D-940_R1_001.fa	NODE_23_length_49715_cov_16.289022	17275	18417	-	blaACT-9_1_HQ693810	1-1143/1143	===============	0/0	100.00	99.83	49715	metadata	DTU2019_932_PRJ1139_Enterobacter_cloacae_1D-940	DT70
