#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	Assembly_name	Gene_observation_ID
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1271-PRJ1147-Escherichia-coli-800202010_R1_001.fa	NODE_68_length_7730_cov_2.570433	1571	2386	+	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	user_db	sul2_2_AY034138	effort_SI_ERR4843775	i22
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1271-PRJ1147-Escherichia-coli-800202010_R1_001.fa	NODE_68_length_7730_cov_2.570433	2447	3250	+	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	100.00	user_db	aph(3'')-Ib_5_AF321551	effort_SI_ERR4843775	i23
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1271-PRJ1147-Escherichia-coli-800202010_R1_001.fa	NODE_68_length_7730_cov_2.570433	3250	4086	+	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	99.88	user_db	aph(6)-Id_1_M28829	effort_SI_ERR4843775	i24
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1272-PRJ1147-Escherichia-coli-800202012_R1_001.fa	NODE_56_length_9971_cov_2.830354	1585	2831	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843776	i25
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1272-PRJ1147-Escherichia-coli-800202012_R1_001.fa	NODE_79_length_2944_cov_2.281860	1171	1974	+	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	100.00	user_db	aph(3'')-Ib_5_AF321551	effort_SI_ERR4843776	i26
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1275-PRJ1147-Escherichia-coli-800202018_R1_001.fa	NODE_52_length_9195_cov_7.056573	1056	2302	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843779	i27
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1277-PRJ1147-Escherichia-coli-801802002_R1_001.fa	NODE_44_length_24965_cov_27.323738	4380	5182	+	aph(3'')-Ib_2_AF024602	2-804/804	===============	0/0	99.88	100.00	user_db	aph(3'')-Ib_2_AF024602	effort_SI_ERR4843781	i28
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1277-PRJ1147-Escherichia-coli-801802002_R1_001.fa	NODE_44_length_24965_cov_27.323738	5182	6018	+	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	100.00	user_db	aph(6)-Id_1_M28829	effort_SI_ERR4843781	i29
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1280-PRJ1147-Escherichia-coli-801802008_R1_001.fa	NODE_23_length_63847_cov_13.824058	20155	20957	-	aph(3'')-Ib_2_AF024602	2-804/804	===============	0/0	99.88	100.00	user_db	aph(3'')-Ib_2_AF024602	effort_SI_ERR4843784	i30
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1281-PRJ1147-Escherichia-coli-801802010_R1_001.fa	NODE_68_length_6430_cov_22.448199	4376	5622	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843785	i31
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1282-PRJ1147-Escherichia-coli-801802012_R1_001.fa	NODE_52_length_19273_cov_29.899718	5246	6492	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	99.84	user_db	tet(A)_6_AF534183	effort_SI_ERR4843786	i32
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1282-PRJ1147-Escherichia-coli-801802012_R1_001.fa	NODE_52_length_19273_cov_29.899718	12934	13407	+	dfrA1_10_AF203818	1-474/474	===============	0/0	100.00	99.79	user_db	dfrA1_10_AF203818	effort_SI_ERR4843786	i33
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1282-PRJ1147-Escherichia-coli-801802012_R1_001.fa	NODE_52_length_19273_cov_29.899718	15973	16764	-	sul3_2_AJ459418	1-792/792	===============	0/0	100.00	100.00	user_db	sul3_2_AJ459418	effort_SI_ERR4843786	i34
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1283-PRJ1147-Escherichia-coli-801802014_R1_001.fa	NODE_61_length_19197_cov_2.748715	16169	17415	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843787	i35
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1283-PRJ1147-Escherichia-coli-801802014_R1_001.fa	NODE_66_length_13632_cov_2.410144	1988	2803	+	sul2_3_HQ840942	1-816/816	===============	0/0	100.00	100.00	user_db	sul2_3_HQ840942	effort_SI_ERR4843787	i36
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1283-PRJ1147-Escherichia-coli-801802014_R1_001.fa	NODE_66_length_13632_cov_2.410144	2864	3667	+	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	100.00	user_db	aph(3'')-Ib_5_AF321551	effort_SI_ERR4843787	i37
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1283-PRJ1147-Escherichia-coli-801802014_R1_001.fa	NODE_66_length_13632_cov_2.410144	3667	4503	+	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	100.00	user_db	aph(6)-Id_1_M28829	effort_SI_ERR4843787	i38
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1283-PRJ1147-Escherichia-coli-801802014_R1_001.fa	NODE_66_length_13632_cov_2.410144	5750	6223	+	dfrA1_10_AF203818	1-474/474	===============	0/0	100.00	99.79	user_db	dfrA1_10_AF203818	effort_SI_ERR4843787	i39
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1283-PRJ1147-Escherichia-coli-801802014_R1_001.fa	NODE_66_length_13632_cov_2.410144	7585	8451	+	sul1_5_EU780013	1-867/867	===============	0/0	100.00	99.89	user_db	sul1_5_EU780013	effort_SI_ERR4843787	i40
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1285-PRJ1147-Escherichia-coli-801802018_R1_001.fa	NODE_57_length_13637_cov_8.442117	5187	6053	-	sul1_5_EU780013	1-867/867	===============	0/0	100.00	99.89	user_db	sul1_5_EU780013	effort_SI_ERR4843788	i41
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1285-PRJ1147-Escherichia-coli-801802018_R1_001.fa	NODE_57_length_13637_cov_8.442117	7415	7888	-	dfrA1_10_AF203818	1-474/474	===============	0/0	100.00	99.79	user_db	dfrA1_10_AF203818	effort_SI_ERR4843788	i42
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1285-PRJ1147-Escherichia-coli-801802018_R1_001.fa	NODE_57_length_13637_cov_8.442117	9135	9971	-	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	100.00	user_db	aph(6)-Id_1_M28829	effort_SI_ERR4843788	i43
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1285-PRJ1147-Escherichia-coli-801802018_R1_001.fa	NODE_57_length_13637_cov_8.442117	9971	10774	-	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	100.00	user_db	aph(3'')-Ib_5_AF321551	effort_SI_ERR4843788	i44
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1285-PRJ1147-Escherichia-coli-801802018_R1_001.fa	NODE_57_length_13637_cov_8.442117	10835	11650	-	sul2_3_HQ840942	1-816/816	===============	0/0	100.00	100.00	user_db	sul2_3_HQ840942	effort_SI_ERR4843788	i45
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1285-PRJ1147-Escherichia-coli-801802018_R1_001.fa	NODE_70_length_4325_cov_7.086470	1056	2302	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843788	i46
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1289-PRJ1147-Escherichia-coli-802002006_R1_001.fa	NODE_31_length_19436_cov_10.394272	5409	6655	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	99.84	user_db	tet(A)_6_AF534183	effort_SI_ERR4843792	i47
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1289-PRJ1147-Escherichia-coli-802002006_R1_001.fa	NODE_31_length_19436_cov_10.394272	13097	13570	+	dfrA1_10_AF203818	1-474/474	===============	0/0	100.00	99.79	user_db	dfrA1_10_AF203818	effort_SI_ERR4843792	i48
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1289-PRJ1147-Escherichia-coli-802002006_R1_001.fa	NODE_31_length_19436_cov_10.394272	16136	16927	-	sul3_2_AJ459418	1-792/792	===============	0/0	100.00	100.00	user_db	sul3_2_AJ459418	effort_SI_ERR4843792	i49
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1289-PRJ1147-Escherichia-coli-802002006_R1_001.fa	NODE_41_length_3556_cov_8.537877	1389	2191	+	aph(3'')-Ib_2_AF024602	2-804/804	===============	0/0	99.88	100.00	user_db	aph(3'')-Ib_2_AF024602	effort_SI_ERR4843792	i50
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1293-PRJ1147-Escherichia-coli-802002014_R1_001.fa	NODE_63_length_6740_cov_16.740814	1331	2536	-	tet(B)_2_AF326777	1-1206/1206	===============	0/0	100.00	100.00	user_db	tet(B)_2_AF326777	effort_SI_ERR4843796	i51
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1294-PRJ1147-Escherichia-coli-802002016_R1_001.fa	NODE_55_length_6592_cov_11.760557	1070	1872	-	aph(3'')-Ib_2_AF024602	2-804/804	===============	0/0	99.88	100.00	user_db	aph(3'')-Ib_2_AF024602	effort_SI_ERR4843797	i52
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1294-PRJ1147-Escherichia-coli-802002016_R1_001.fa	NODE_56_length_4616_cov_12.665182	1127	2332	+	tet(B)_2_AF326777	1-1206/1206	===============	0/0	100.00	100.00	user_db	tet(B)_2_AF326777	effort_SI_ERR4843797	i53
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1296-PRJ1147-Escherichia-coli-802002020_R1_001.fa	NODE_29_length_52475_cov_7.249561	2137	2928	+	sul3_2_AJ459418	1-792/792	===============	0/0	100.00	100.00	user_db	sul3_2_AJ459418	effort_SI_ERR4843799	i54
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1296-PRJ1147-Escherichia-coli-802002020_R1_001.fa	NODE_29_length_52475_cov_7.249561	4099	4890	-	aadA3_1_AF047479	1-792/792	===============	0/0	100.00	99.75	user_db	aadA3_1_AF047479	effort_SI_ERR4843799	i55
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1299-PRJ1147-Escherichia-coli-802402006_R1_001.fa	NODE_61_length_16491_cov_5.379492	7168	8414	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843802	i56
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1299-PRJ1147-Escherichia-coli-802402006_R1_001.fa	NODE_96_length_4475_cov_5.341306	971	1774	-	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	100.00	user_db	aph(3'')-Ib_5_AF321551	effort_SI_ERR4843802	i57
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1299-PRJ1147-Escherichia-coli-802402006_R1_001.fa	NODE_96_length_4475_cov_5.341306	1835	2650	-	sul2_3_HQ840942	1-816/816	===============	0/0	100.00	100.00	user_db	sul2_3_HQ840942	effort_SI_ERR4843802	i58
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1300-PRJ1147-Escherichia-coli-802402008_R1_001.fa	NODE_17_length_51814_cov_9.776965	43026	43886	+	blaTEM-1B_1_AY458016	1-861/861	===============	0/0	100.00	100.00	user_db	blaTEM-1B_1_AY458016	effort_SI_ERR4843803	i59
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1300-PRJ1147-Escherichia-coli-802402008_R1_001.fa	NODE_17_length_51814_cov_9.776965	44117	44953	-	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	99.88	user_db	aph(6)-Id_1_M28829	effort_SI_ERR4843803	i60
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1300-PRJ1147-Escherichia-coli-802402008_R1_001.fa	NODE_17_length_51814_cov_9.776965	44953	45756	-	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	99.88	user_db	aph(3'')-Ib_5_AF321551	effort_SI_ERR4843803	i61
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1300-PRJ1147-Escherichia-coli-802402008_R1_001.fa	NODE_17_length_51814_cov_9.776965	45817	46632	-	sul2_2_AY034138	1-816/816	===============	0/0	100.00	100.00	user_db	sul2_2_AY034138	effort_SI_ERR4843803	i62
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1300-PRJ1147-Escherichia-coli-802402008_R1_001.fa	NODE_33_length_4191_cov_8.204478	1106	2352	+	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843803	i63
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1301-PRJ1147-Escherichia-coli-802402010_R1_001.fa	NODE_115_length_4290_cov_8.281768	1604	2850	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843804	i64
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1303-PRJ1147-Escherichia-coli-802402014_R1_001.fa	NODE_103_length_2312_cov_10.367048	1045	1518	+	dfrA17_1_FJ460238	1-474/474	===============	0/0	100.00	100.00	user_db	dfrA17_1_FJ460238	effort_SI_ERR4843806	i65
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1303-PRJ1147-Escherichia-coli-802402014_R1_001.fa	NODE_79_length_6601_cov_8.393265	888	2134	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843806	i66
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1303-PRJ1147-Escherichia-coli-802402014_R1_001.fa	NODE_79_length_6601_cov_8.393265	3476	4312	-	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	100.00	user_db	aph(6)-Id_1_M28829	effort_SI_ERR4843806	i67
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1303-PRJ1147-Escherichia-coli-802402014_R1_001.fa	NODE_79_length_6601_cov_8.393265	4312	5115	-	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	100.00	user_db	aph(3'')-Ib_5_AF321551	effort_SI_ERR4843806	i68
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1304-PRJ1147-Escherichia-coli-802402016_R1_001.fa	NODE_116_length_4290_cov_10.446073	1604	2850	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843807	i69
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1305-PRJ1147-Escherichia-coli-802402018_R1_001.fa	NODE_43_length_40071_cov_15.709393	1896	3142	+	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843808	i70
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1305-PRJ1147-Escherichia-coli-802402018_R1_001.fa	NODE_56_length_28931_cov_16.720525	9134	9925	+	sul3_2_AJ459418	1-792/792	===============	0/0	100.00	100.00	user_db	sul3_2_AJ459418	effort_SI_ERR4843808	i71
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1305-PRJ1147-Escherichia-coli-802402018_R1_001.fa	NODE_56_length_28931_cov_16.720525	12491	13750	-	cmlA1_1_M64556	1-1260/1260	===============	0/0	100.00	99.92	user_db	cmlA1_1_M64556	effort_SI_ERR4843808	i72
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1305-PRJ1147-Escherichia-coli-802402018_R1_001.fa	NODE_56_length_28931_cov_16.720525	14012	14813	-	aadA2_1_NC_010870	18-819/819	===============	0/0	97.92	99.88	user_db	aadA2_1_NC_010870	effort_SI_ERR4843808	i73
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1306-PRJ1147-Escherichia-coli-802402020_R1_001.fa	NODE_113_length_4290_cov_11.632477	1604	2850	-	tet(A)_6_AF534183	1-1247/1275	===============	0/0	97.80	100.00	user_db	tet(A)_6_AF534183	effort_SI_ERR4843809	i74
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1313-PRJ1147-Escherichia-coli-802802014_R1_001.fa	NODE_10_length_185667_cov_2.737270	41564	42037	-	dfrA1_8_X00926	1-474/474	===============	0/0	100.00	100.00	user_db	dfrA1_8_X00926	effort_SI_ERR4843816	i75
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1313-PRJ1147-Escherichia-coli-802802014_R1_001.fa	NODE_43_length_22488_cov_2.053799	8490	9350	+	blaTEM-1C_1_FJ560503	1-861/861	===============	0/0	100.00	100.00	user_db	blaTEM-1C_1_FJ560503	effort_SI_ERR4843816	i76
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1313-PRJ1147-Escherichia-coli-802802014_R1_001.fa	NODE_59_length_6316_cov_49.876070	1559	2395	-	aph(6)-Id_1_M28829	1-837/837	===============	0/0	100.00	100.00	user_db	aph(6)-Id_1_M28829	effort_SI_ERR4843816	i77
/home/projects/cge/data/projects/other/EFFORT_single_isolates/raw_reads/Denmark/Assemblies/DTU2018-1313-PRJ1147-Escherichia-coli-802802014_R1_001.fa	NODE_59_length_6316_cov_49.876070	2395	3198	-	aph(3'')-Ib_5_AF321551	1-804/804	===============	0/0	100.00	100.00	user_db	aph(3'')-Ib_5_AF321551	effort_SI_ERR4843816	i78
